code
KK-AIAKTE2OP
KK-AIAKTE1OP 
KK-AIAKVU2OP 
KK-AIAKVU1OP
KK-MOAKSK2SP 
KK-MOAKSK1SP 
KK-MOAKKO2SP 
KK-MOAKKO1SP 
KK-FINMU
KK-FIN01
KK-FIN02
KK-FIN08
KK-RUOIK 
KK-RUVALT
KK-RUHUM
KK-RUERI
KK-RUKASV
KK-RUTEOL
KK-RUELK
KK-RUBIYM
KK-RUMAME
KK-RUFARM
KK-RUMALU
KK-RULAAK
KK-RULAAK1
KK-RULAAK2
KK-RUKAIKKI
KK-RUO204
KK-RUO205 
KK-RUO206
KK-ENERI
KK-ENOIK 
KK-ENHUM 
KK-ENHUM1 
KK-ENHUM2 
KK-ENTEOL 
KK-ENKASV 
KK-ENVALT 
KK-ENMALU 
KK-ENMALU1 
KK-ENMALU2 
KK-ENBIYM 
KK-ENFARM
KK-ENFARM1 
KK-ENFARM2 
KK-ENELK
KK-ENELK1 
KK-ENELK2 
KK-ENMAME 
KK-ENMAME1 
KK-ENMAME2 
KK-ENLAAK 
KK-ENLAAK2 
KK-ENKAIKKI
KK-ENKAIKKI1/2
KK-ENG301 
KK-ENG302 
KK-ENG303 

 
 
